,id,de,ch_sg,ch_be,ch_gr,ch_zh,ch_vs,ch_bs,ch_ag,ch_lu,thema,code_switching
0,0,"Derzeit ist er in « Parasite », dem Siegerfilm von Cannes, zu sehen.","Zur Ziit isch er in ""Parasite"", en Siegerfilm vo Cannes, zgseh.","Momentan ischer in ""Parasite"" z gseh, em Siegerfium vo Cannes.","Derziit isch er in ""Parasite"", am Siegerfilm vu Cannes, z gseh.","Momentan chamer ihn in ""Parasite"", em Siegerfilm vo Cannes, gseh.","Derzit ischer in ""Parasite"", dum Siegerfilm va Cannes, zgseh.","Zur Ziit isch är in ""Parasite"", em Siigerfilm vo Cannes, z gseh.","Em Moment escher en ""OParasite"", de Siegerfelm fo Cannes z'gseh.","Momentan escher en ""Parasite"", em Sigerfelm vo Cannes, zgseh.",kultur,
1,1,Die Boeing des Typs siebenhundertsiebenunddreißig achthundert NG sei erst seit zweitausendsechzehn für das Unternehmen im Einsatz.,dBoeing vom Typ sibedrüsibe achthundert NG seg erscht sit zweituusigsechzeh fürs Unternehme im Iisatz.,D Boeing vom Typ sibä drü sibä achthundert NG sig ersch sit zwöituusigsächzäh fürs Ungernämä im Iisatz.,D Boeing vum Typ siebahundertsiebanädrissig achthundert NG sig erst siit zweituusigsechzehn für das Unternehma im Iisatz.,D Boeing vom Typ sibedrüsibe-achthundert NG seg erst sit zweitusigsächzäh fürs Unternähme im Isatz.,Die Boeing vam Typ sibudriisibu-achthunert NG sige ersch sit zweitüüsigundsächzäh fer z'Unernähmu im Ihsatz.,D Boeing vom Typ siebedreisibe-achthundert NG sig siit zweituusigundsächzäh für s Unternähme im Ihsatz.,D'Boeing vom Typ sebehondertsebenedrissg-achthondert NG seigi erscht set zwoitusigondsächzäh för s'Onternähme em Isatz.,De Boeing vom Typ sebe drü sebe-achthondert NG seg erst set zwoitusigondsächzäh förs Ondernäme em Iisatz.,internationale-politik,
2,2,Nun ist die Pflegefachfrau seit Monaten arbeitsunfähig.,Etz isch dPflegefachfrau sit Monate arbetsunfähig.,Iz isch d Pflegefachfrou sit Monatä arbeitsunfähig.,Jetzt isch d Pflegefachfrau sit Mönet arbetsunfähig.,Jetzt isch d Pflägefachfrau sit Monate arbetsunfähig.,Jetz isch die Pflegfachfröi sit Monati arbeitsunfähig.,Jetzt isch d Pflegefachfrau siit Monate arbetsunfähig.,Jetzt esch d'Pflegefachfrau set Monate arbeitsunfähig.,Jetz esch die Pflegefachfrau setem Mäntig arbetsonfähig.,schweizer-politik,
3,3,Der sass auch im April wieder zuverlässig auf seinem heissen Stuhl.,De isch au im April wieder zueverlässig uf sim heisse Stuehl ghockt.,Dä isch o im Apriu zueverlässig uf sim heissä Schtueu ghocket.,De isch im April au wieder zuaverlässig uf sinem heissa Stuahl gsessa.,De isch au im April wider zueverlässig uf sim heisse Stuehl gsässe.,Der isch öi im April wieder züeverlässig uf schinum heissu Stüehl ghockt.,Dä isch au im April wieder zueverlässig uf sim heisse Stuehl gsässe.,De esch au em April weder zueverlässig of sim heisse Stuehl gsässe.,Dä esch au em April weder zueverlässig uf sim heisse Stuel gsässe.,schweizer-politik,
4,4,"« Die Parlamentarier werden sich bestimmt auch auf die deutschen Vorschläge beziehen », glaubt SRF-Klimaexperte Klaus Ammann.","""dParlamentarier werded sich bestimmt au uf di dütsche Vorschläg bezieh"" glaubt de SRF-Klimaexperte Klaus Ammann.","""D Parlamentarier wärdä sech beschtimmt o uf die dütschä Vorschleg bezieh"", gloubt dr SRF-Klimaexpert Klaus Ammann.",""" D Parlamentarien werden sich sicher au uf dia dütscha Vorschläg bezücha"", glaubt dr SRF-Klimaexpert Klaus Ammann.","""D Parlamentarier beziehnd sich sicher au uf di dütsche Vorschläg"", glaubt de SRF-Klimaexpert Klaus Ammann.","""Die Parlamentarier wärdunt schich sicher öi uf die ditschu Vorschläg bezieh"", glöibt der SRF-Klimaexpert Klaus Ammann.","""D Parlamentarier wärde sich bstimmt au uf die dütsche Vorschläg bezieh"", glaubt dr SRF-Klimaexpärt Klaus Ammann.","""D'Parlamentarier wärde sech bestemmt au of die dütsche Vorschläg bezieh"", glaubt de SRF Klimaexperte Klaus Ammann.","""D Parlamäntarier wärded sech secher au uf di dütsche Vorschläg bezieh"", glaubt de SRF-Klimaexpert Klaus Ammann.",schweizer-politik,
5,5,"Er soll demnächst abgebaut, restauriert und an gleicher Stelle wieder aufgebaut werden.","Es sött demnächscht abbaut werde, restauriert und a de gliche Stell wieder ufbaut werde.","Är söu dämnächscht abbout, reschtouriert und ar gliichä Schteu wider ufbout wärdä.","Er söll nögschtens abbaut, restauriart und an gliicher Stell wieder uufbaut werda.","Er söll nöchstens abbout, restauriert und ade gliche Stell wider ufbout werde.","Är soll demnegscht abgebaut, restauriert und an glicher Stell wieder üfgibaut wärdu.","Är söll demnöggst abbaut, restauriert und and dr gliiche Stell wieder ufbaut wärde.","Er sött demnächscht abbaut, restauriert ond ade gliche Stell weder ufbaut wärde.","Är sell bald abbout, restauriert ond ade gliche Stell weder ufbout wärde.",special,
6,6,"Die « dumme, vulgäre Komödie » sei beschämend für alle Beteiligten.","Di ""dumm, vulgär Komödie"" seg beschämend für alli Beteiligti.","Die ""dummi, vulgäri Komödiä"" sig beschämend für aui Beteiligtä.","Dia ""dumm, vulgär Komödia""sig beschämend für alli Beteiligta.","Die ""dummi, vulgäri Komödie"" segi beschämend für alli Beteiligte.","Die ""tummu, vulgäru Komödie"" sige beschämend fer alli Beteiligtu.","Die ""dummi, vulgäri Komödie"" sig beschähmend für alli Beteiligte.","Die ""dommi, vulgäri Kömodie"" sig beschämend för alli Beteiligte.","Di ""dommi, vulgäri Kommödie"" seg beschämend för alli Beteiligte.",special,
7,7,Er stellt einteilige und zusammengesetzte Federn her.,Er stellt eiteilig und zämmegsetzti Federe her.,Är schteut eiteiligi und zämägsetzti Fäderä här.,Er stellt eintiligi und zemmagsetzti Federa her.,Er macht einteiligi und zämegsetzti Fädere.,Är stellt eiteiligi und zämugsetzti Fädre här.,,Er stellt einteiligi ond zämegsetzti Federe her.,Är produziert eiteiligi ond zämegsetzti Fädere.,special,
8,8,Sie entstehen langsam und verursachen weniger Schmerzen und Beschwerden als ein Gerstenkorn.,Sie entstönd langsam und verursached weniger Schmerze und Beschwerde als es Gerstechorn.,Si entschtö langsam und verursachä weniger Schmärzä und Beschwärdä aus es Gärschtächorn.,Sie entstöhn langsam und verursachen weniger Schmerza und Beschwerda als as Gerstakorn.,Si entstönd langsam und mached weniger Schmerze und Beschwerde als es Gerstechorn.,Schi entstähnt langsam und verursachunt weniger Schmärze und Beschwärde wa es Gärschtuchoru.,Si entstöhn langsam und verursache weniger Schmärze und Beschwärde wie ä Gärstekorn.,Sie entstönd langsam ond verursache weniger Schmärze ond Beschwerde als es Gerschtechorn.,Sie entstönd langsam ond verursached weniger Schmärze ond Beschwärde als es Gerstechorn.,special,
9,9,Damit ist sie auch für viele Bürgerliche wählbar.,Demit isch si au für vili Bürgerlichi wählbar,Drmit ischsi o für vili Bürgerlechi wäubar.,Drmit isch sie au für vieli Bürgerlichi wählbar.,Drum isch si au für vill Bürgerlichi wählbar.,Dermit isch schi öi fer vill Bürgerlichi wählbar.,Demit isch sie au für vieli Bürger wählbar.,Demet esch sie au för velli Börgerlechi wählbar.,Demet escher au för velli Börgerlechi wählbar.,schweizer-politik,
